model_id,display_name,group,category,architecture,encoder,input_mode,miou,dice,pixel_acc,params_m,train_seconds,train_minutes
dl_unet_effb0,U-Net (EfficientNet-B0),general,encoder-decoder,Unet,tu-efficientnet_b0,rgb,0.5706730982232234,0.6794189917066373,0.8132621192901549,5.836441,3.772817850112915,0.06288029750188191
dl_manet_r34,MAnet (ResNet34),general,attention,MAnet,resnet34,rgb,0.5663206313584672,0.6886372118585692,0.7739803638247241,31.785373,6.219134569168091,0.10365224281946818
dl_deeplabv3p_effb0,DeepLabV3+ (EfficientNet-B0),general,context-atrous,DeepLabV3Plus,tu-efficientnet_b0,rgb,0.5433965652530359,0.6608208910476947,0.7888750317457186,4.498393,3.6058316230773926,0.06009719371795654
dl_unetpp_r34,U-Net++ (ResNet34),general,encoder-decoder,UnetPlusPlus,resnet34,rgb,0.530672857882725,0.6582088252364034,0.7604029903684038,26.080349,9.398961305618286,0.15664935509363812
dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,0.5271431036271722,0.6350623667896526,0.7650760409777336,24.438109,5.9802398681640625,0.09967066446940104
dl_segformer_b0,SegFormer (MiT-B0),general,transformer,Segformer,mit_b0,rgb,0.5157766892092154,0.6296808016709614,0.76632219861061,3.717485,5.112878799438477,0.08521464665730795
dl_segformer_b2,SegFormer (MiT-B2),general,transformer,Segformer,mit_b2,rgb,0.5051487738556997,0.627960228236773,0.7292415744279351,24.725453,7.319450855255127,0.12199084758758545
dl_linknet_r34,LinkNet (ResNet34),general,lightweight,Linknet,resnet34,rgb,0.4867105594203487,0.5914882166650938,0.7516645775556908,21.772333,4.3613176345825195,0.072688627243042
dl_deeplabv3p_r34,DeepLabV3+ (ResNet34),general,context-atrous,DeepLabV3Plus,resnet34,rgb,0.47990593739036425,0.5889669299394908,0.745385143187674,22.440541,4.321434736251831,0.07202391227086385
dl_upernet_b2,UPerNet (MiT-B2),general,transformer,UPerNet,mit_b2,rgb,0.4472659099860243,0.5512424627919259,0.7001885545959032,32.530893,8.741045713424683,0.1456840952237447
dl_fpn_r34,FPN (ResNet34),general,pyramid,FPN,resnet34,rgb,0.41010081749019295,0.5370246671790299,0.649086031660698,23.156941,4.500610828399658,0.07501018047332764
dl_pspnet_r34,PSPNet (ResNet34),general,pyramid,PSPNet,resnet34,rgb,0.3609801560606756,0.45653728492116213,0.5869639608197551,21.493293,1.4961273670196533,0.02493545611699422
dl_upernet_b0,UPerNet (MiT-B0),general,transformer,UPerNet,mit_b0,rgb,0.3516379364643065,0.4443606688659663,0.5999959043717181,10.735469,5.322267055511475,0.08870445092519125
dl_deeplabv3_r34,DeepLabV3 (ResNet34),general,context-atrous,DeepLabV3,resnet34,rgb,0.3110210325223976,0.38501346215181637,0.5948781780556683,26.010189,8.51984453201294,0.14199740886688234
metal_unetpp_clahe_effb0,Metal-U-Net++ CLAHE (EfficientNet-B0),metallography,micrograph-contrast,UnetPlusPlus,tu-efficientnet_b0,clahe_rgb,0.5833898412924108,0.6994764170393132,0.8156616236381048,6.067961,5.811806917190552,0.09686344861984253
metal_manet_edge4_effb0,Metal-MAnet RGB+Sobel (EfficientNet-B0),metallography,edge-aware,MAnet,tu-efficientnet_b0,edge4,0.5741160484128907,0.6881410886143066,0.804543970012313,8.671727,5.6778271198272705,0.09463045199712118
metal_unet_gabor_r34,Metal-U-Net Gabor Stack (ResNet34),metallography,texture-aware,Unet,resnet34,gabor3,0.5612822259855731,0.6727234317350179,0.7865329818639958,24.438109,10.574939727783203,0.1762489954630534
